epoch,stage,lr,train_loss,train_mse,train_kl,val_loss,val_mse,val_kl,PLCC,SROCC,KROCC,Aggregate,time_seconds
1,1,0.0003,1.5159902044704983,1.4307635048457554,1.2446699396201542,1.4719503465294839,1.3627055168151856,2.4783870935440064,-0.3297,-0.213,-0.1373,0.6799,67.75859260559082
2,1,0.0003,1.2850527161785534,1.2172670813117707,0.45389203867741995,1.2941594609618188,1.1964832754433155,2.3721411848068237,-0.049,-0.0914,-0.0615,0.2019,67.35380792617798
3,1,0.0003,1.3218435617855617,1.2525994268911225,0.458823620687638,1.2659884577989577,1.193955017477274,1.122553493976593,0.1213,0.1559,0.1058,0.383,74.20686388015747
4,2,1.6666666666666667e-05,1.2031952974625997,1.1432352951169014,0.08813690197254931,1.2508329683542252,1.1932844127714635,0.4081903374195099,0.2666,0.3251,0.2217,0.8134,67.4929039478302
5,2,3.3333333333333335e-05,0.8497905136431967,0.7902306116904532,0.11216773598321847,1.2347544327378273,1.1841299183666707,0.17395945459604265,0.4633,0.4679,0.3268,1.258,72.39483594894409
6,2,5e-05,0.7461232928080218,0.6909634166636637,0.09726396220070975,1.188508478552103,1.1481365220248698,0.08391573205590248,0.6744,0.7056,0.4958,1.8759,72.78921961784363
7,2,5e-05,0.7973879607873303,0.7379909307828971,0.057260959962649,1.027204526439309,0.9928518097475171,0.023888920713216067,0.72,0.7417,0.5331,1.9948,73.1578688621521
8,2,4.9986318311391235e-05,0.610341653334243,0.5608484374306032,0.04693960656012808,0.837278648391366,0.8017209334671498,0.031179423704743386,0.7653,0.7434,0.5362,2.0449,69.21735858917236
9,2,4.9945288526267254e-05,0.5495466109471662,0.5000502198615244,0.052117801311292816,0.6939493755996228,0.6564937377721072,0.033518575057387354,0.7862,0.7587,0.5548,2.0997,64.49402809143066
10,2,4.987695646966835e-05,0.5222678564488887,0.47279588513076304,0.03845978037321142,0.5922210381925106,0.552609752342105,0.023787461407482623,0.8002,0.7782,0.5774,2.1558,63.23785734176636
11,2,4.978139845979211e-05,0.5061049512667315,0.45733899693403923,0.034812664058325546,0.5144262036681175,0.4739055934548378,0.01389302708208561,0.8147,0.799,0.6007,2.2144,63.054847240448
12,2,4.9658721222755696e-05,0.4732447029224464,0.4313248800060579,0.04118317365114178,0.4543569841980934,0.41462397307157517,0.007762983366847038,0.8299,0.821,0.6268,2.2778,65.4630286693573
1,1,0.0003,1.574668402331216,1.4607076014791216,0.3650517204244222,3.92427681684494,3.8822799921035767,0.03664799928665161,0.5143,0.512,0.3547,1.381,33.19897222518921
2,1,0.0003,1.2717846521309444,1.170787833418165,0.32742274217307565,3.3481176495552063,3.3019649028778075,0.043151731602847576,0.4415,0.4398,0.3119,1.1932,25.6848361492157
3,1,0.0003,1.1837420412472317,1.098053412778037,0.20849674370672022,2.9310040563344955,2.881534880399704,0.038879277743399145,0.2992,0.3589,0.2484,0.9065,25.864710807800293
4,1,0.0003,1.1956357815435954,1.1060537304197038,0.2588422860418047,2.387930741906166,2.3384920939803124,0.05666755586862564,0.3864,0.4322,0.3008,1.1194,26.220073223114014
5,1,0.0003,1.153915833575385,1.0598181268998554,0.2507864717926298,2.0793640211224558,2.0360106572508814,0.01933049811050296,0.4517,0.4671,0.3216,1.2404,27.043434619903564
6,2,1.6666666666666667e-05,1.1143645188638143,1.0344233657632556,0.18281978932874543,1.8841841608285903,1.8431158542633057,0.020700606424361466,0.5699,0.6267,0.4473,1.6439,34.6956889629364
1,1,0.0003,1.5683518639632634,1.4623887198311942,0.31756330779088393,3.9012649416923524,3.859429347515106,0.034227959159761664,0.5106,0.514,0.3557,1.3803,40.28717088699341
7,2,3.3333333333333335e-05,0.8277760693005153,0.7327553493635995,0.36727182173303197,1.7463830798864364,1.7078807026147842,0.025964565761387347,0.5699,0.6139,0.447,1.6309,39.99741578102112
2,1,0.0003,1.2974121459892818,1.1900421972785677,0.3574029698967934,3.4057914346456526,3.3634156465530394,0.015775547781959175,0.5005,0.4987,0.3519,1.3511,38.58425712585449
8,2,5e-05,0.7628520077892712,0.6915444093091148,0.16026093866676092,1.5772014826536178,1.5414904832839966,0.025890858378261328,0.6252,0.6429,0.4658,1.7339,39.65888738632202
3,1,0.0003,1.2213372319936753,1.1369110026529856,0.2057503686153463,3.0566210597753525,3.008458688855171,0.03801888786256313,0.3688,0.4087,0.2844,1.0619,39.38395118713379
9,2,5e-05,0.7433213674596377,0.6759935674922807,0.12370838932693004,1.4469500005245208,1.4119240418076515,0.027172900550067425,0.6707,0.6603,0.4742,1.8052,38.44290518760681
10,2,4.998571704797127e-05,0.742339116547789,0.6767896030630384,0.08751608207821845,1.3432284966111183,1.3102558329701424,0.022419455740600825,0.7274,0.7024,0.5054,1.9353,36.39612627029419
1,1,0.0003,1.5917843682425363,1.4836632383721216,0.3279007316433958,3.961059367656708,3.9193966567516325,0.031436831969767806,0.504,0.5035,0.3479,1.3554,40.856560707092285
11,2,4.9942884845168216e-05,0.6764610707759857,0.6105401173233986,0.09555720979613917,1.2570347309112548,1.2249116435647012,0.022860238514840602,0.7555,0.7519,0.5464,2.0538,41.68905687332153
2,1,0.0003,1.270868558543069,1.1739570489951543,0.33510537700993676,3.3482231110334397,3.303343078494072,0.03812078079208732,0.4708,0.4749,0.3386,1.2844,41.5194308757782
12,2,4.9871553332023326e-05,0.6541628618325506,0.5935695228832109,0.13333758670570595,1.1803539976477624,1.1483871564269066,0.028816349944099783,0.7709,0.7591,0.5508,2.0807,41.88980293273926
3,1,0.0003,1.1959064790180751,1.1249266488211496,0.11831143338765417,2.933048051595688,2.8850235491991043,0.03464754708111286,0.3089,0.2983,0.2048,0.812,41.23193025588989
13,2,4.977180567789011e-05,0.5782306483813695,0.5207641596240656,0.084764534527702,1.1129912868142129,1.0809369876980781,0.0313175043091178,0.7811,0.7611,0.5533,2.0955,42.5056471824646
4,1,0.0003,1.2058925228459494,1.119503008042063,0.29144870681422097,2.6642238914966585,2.6152622789144515,0.02015452990308404,0.2413,0.258,0.1767,0.676,41.503469944000244
